threshold_percents	cluster_id	representative	cluster_size
40	15	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_12.pdb	1
40	16	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_2.pdb	1
40	17	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_20.pdb	1
40	18	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_23.pdb	1
40	19	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_28.pdb	1
40	20	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_3.pdb	1
40	21	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_32.pdb	1
40	22	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_33.pdb	1
40	23	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_34.pdb	1
40	24	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_36.pdb	1
40	25	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_42.pdb	1
40	26	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_44.pdb	1
40	27	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_47.pdb	1
40	28	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_48.pdb	1
40	29	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_5.pdb	1
40	30	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_54.pdb	1
40	31	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_6.pdb	1
40	32	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_61.pdb	1
40	33	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_63.pdb	1
40	34	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_65.pdb	1
40	35	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_66.pdb	1
40	36	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_7.pdb	1
40	37	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_18.pdb	1
40	38	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_20.pdb	1
40	39	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_28.pdb	1
40	40	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_4.pdb	1
40	41	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_48.pdb	1
40	42	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_12.pdb	1
40	43	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_17.pdb	1
40	44	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_22.pdb	1
40	45	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_27.pdb	1
40	46	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_31.pdb	1
40	47	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_34.pdb	1
40	48	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_39.pdb	1
40	49	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_44.pdb	1
40	50	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_46.pdb	1
40	51	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_47.pdb	1
40	52	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_49.pdb	1
40	53	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_52.pdb	1
40	54	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_53.pdb	1
40	55	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_54.pdb	1
40	56	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_55.pdb	1
40	57	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_60.pdb	1
40	58	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_62.pdb	1
40	59	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_7.pdb	1
40	60	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_9.pdb	1
40	61	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_25.pdb	1
40	62	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_28.pdb	1
40	63	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_31.pdb	1
40	64	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_41.pdb	1
40	65	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_43.pdb	1
40	66	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_44.pdb	1
40	67	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_50.pdb	1
40	68	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_55.pdb	1
40	69	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_56.pdb	1
40	70	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_6.pdb	1
40	71	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_62.pdb	1
40	72	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_66.pdb	1
40	73	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_8.pdb	1
40	74	afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_37.pdb	1
40	75	afm_woTemplates_model_4_multimer_v1_pred_15.pdb	1
40	76	cf_dropout_full_woTemplates_model_1_multimer_v1_pred_40.pdb	1

50	1	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_27.pdb	7471
50	2	afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_15.pdb	251
50	3	afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_29.pdb	98
50	4	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_62.pdb	35
50	5	afm_dropout_full_woTemplates_model_1_multimer_v1_pred_1.pdb	18
50	6	afm_woTemplates_model_1_multimer_v1_pred_34.pdb	19
50	7	afm_dropout_full_woTemplates_model_2_multimer_v1_pred_0.pdb	16
50	8	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_43.pdb	15
50	9	afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_58.pdb	7
50	10	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_53.pdb	6
50	11	afm_dropout_full_woTemplates_model_1_multimer_v1_pred_42.pdb	5
50	12	afm_dropout_full_woTemplates_model_3_multimer_v3_pred_29.pdb	4
50	13	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_41.pdb	4
50	14	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_21.pdb	3
50	15	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_21.pdb	4
50	16	afm_dropout_full_woTemplates_model_4_multimer_v2_pred_34.pdb	2
50	17	afm_dropout_full_woTemplates_model_3_multimer_v1_pred_50.pdb	1
50	18	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_11.pdb	1
50	19	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_12.pdb	1
50	20	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_15.pdb	1
50	21	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_2.pdb	1
50	22	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_20.pdb	1
50	23	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_23.pdb	1
50	24	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_28.pdb	1
50	25	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_29.pdb	1
50	26	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_3.pdb	1
50	27	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_30.pdb	1
50	28	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_32.pdb	1
50	29	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_33.pdb	1
50	30	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_34.pdb	1
50	31	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_36.pdb	1
50	32	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_42.pdb	1
50	33	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_44.pdb	1
50	34	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_45.pdb	1
50	35	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_47.pdb	1
50	36	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_48.pdb	1
50	37	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_5.pdb	1
50	38	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_54.pdb	1
50	39	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_58.pdb	1
50	40	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_6.pdb	1
50	41	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_60.pdb	1
50	42	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_61.pdb	1
50	43	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_62.pdb	1
50	44	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_63.pdb	1
50	45	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_64.pdb	1
50	46	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_65.pdb	1
50	47	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_66.pdb	1
50	48	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_7.pdb	1
50	49	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_18.pdb	1
50	50	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_20.pdb	1
50	51	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_28.pdb	1
50	52	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_4.pdb	1
50	53	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_48.pdb	1
50	54	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_60.pdb	1
50	55	afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_27.pdb	1
50	56	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_0.pdb	1
50	57	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_12.pdb	1
50	58	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_17.pdb	1
50	59	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_22.pdb	1
50	60	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_27.pdb	1
50	61	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_31.pdb	1
50	62	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_34.pdb	1
50	63	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_38.pdb	1
50	64	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_39.pdb	1
50	65	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_44.pdb	1
50	66	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_46.pdb	1
50	67	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_47.pdb	1
50	68	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_48.pdb	1
50	69	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_49.pdb	1
50	70	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_52.pdb	1
50	71	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_53.pdb	1
50	72	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_54.pdb	1
50	73	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_55.pdb	1
50	74	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_60.pdb	1
50	75	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_62.pdb	1
50	76	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_7.pdb	1
50	77	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_9.pdb	1
50	78	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_14.pdb	1
50	79	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_19.pdb	1
50	80	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_24.pdb	1
50	81	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_25.pdb	1
50	82	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_28.pdb	1
50	83	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_31.pdb	1
50	84	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_41.pdb	1
50	85	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_43.pdb	1
50	86	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_44.pdb	1
50	87	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_50.pdb	1
50	88	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_55.pdb	1
50	89	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_56.pdb	1
50	90	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_6.pdb	1
50	91	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_62.pdb	1
50	92	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_66.pdb	1
50	93	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_7.pdb	1
50	94	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_8.pdb	1
50	95	afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_19.pdb	1
50	96	afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_37.pdb	1
50	97	afm_woTemplates_model_4_multimer_v1_pred_15.pdb	1
50	98	cf_dropout_full_woTemplates_model_1_multimer_v1_pred_40.pdb	1

60	1	afm_woTemplates_model_2_multimer_v1_pred_44.pdb	7427
60	2	afm_dropout_full_woTemplates_model_5_multimer_v1_pred_29.pdb	166
60	3	afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_29.pdb	81
60	4	afm_woTemplates_model_5_multimer_v1_pred_51.pdb	38
60	5	afm_dropout_full_woTemplates_model_4_multimer_v1_pred_21.pdb	23
60	6	afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_5.pdb	19
60	7	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_22.pdb	19
60	8	afm_dropout_full_woTemplates_model_1_multimer_v1_pred_18.pdb	18
60	9	afm_dropout_full_woTemplates_model_2_multimer_v1_pred_41.pdb	16
60	10	afm_dropout_full_woTemplates_model_2_multimer_v1_pred_44.pdb	15
60	11	afm_dropout_full_woTemplates_model_1_multimer_v1_pred_44.pdb	9
60	12	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_1.pdb	7
60	13	afm_dropout_full_woTemplates_model_2_multimer_v1_pred_47.pdb	5
60	14	afm_dropout_full_woTemplates_model_3_multimer_v2_pred_2.pdb	5
60	15	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_26.pdb	6
60	16	afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_17.pdb	4
60	17	afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_36.pdb	5
60	18	afm_dropout_full_woTemplates_model_3_multimer_v3_pred_29.pdb	3
60	19	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_49.pdb	3
60	20	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_14.pdb	3
60	21	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_33.pdb	3
60	22	afm_dropout_full_woTemplates_model_2_multimer_v1_pred_0.pdb	2
60	23	afm_dropout_full_woTemplates_model_2_multimer_v1_pred_20.pdb	2
60	24	afm_dropout_full_woTemplates_model_4_multimer_v2_pred_34.pdb	2
60	25	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_37.pdb	2
60	26	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_41.pdb	2
60	27	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_11.pdb	2
60	28	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_21.pdb	2
60	29	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_61.pdb	2
60	30	afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_25.pdb	2
60	31	afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_33.pdb	2
60	32	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_23.pdb	2
60	33	afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_39.pdb	2
60	34	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_12.pdb	2
60	35	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_42.pdb	2
60	36	afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_39.pdb	2
60	37	afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_44.pdb	2
60	38	afm_woTemplates_model_3_multimer_v1_pred_10.pdb	2
60	39	afm_dropout_full_woTemplates_model_1_multimer_v1_pred_20.pdb	1
60	40	afm_dropout_full_woTemplates_model_3_multimer_v1_pred_50.pdb	1
60	41	afm_dropout_full_woTemplates_model_3_multimer_v3_pred_11.pdb	1
60	42	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_11.pdb	1
