index	file	renaming_of_chains
41	afm_basic_model_1_multimer_v1_pred_45.pdb	B=A,C=C,D=B,E=D
42	afm_basic_model_1_multimer_v1_pred_46.pdb	B=A,C=C,D=B,E=D
43	afm_basic_model_1_multimer_v1_pred_47.pdb	B=A,C=C,D=B,E=D
44	afm_basic_model_1_multimer_v1_pred_48.pdb	B=A,C=C,D=B,E=D
45	afm_basic_model_1_multimer_v1_pred_49.pdb	B=A,C=C,D=B,E=D
46	afm_basic_model_1_multimer_v1_pred_5.pdb	B=A,C=C,D=B,E=D
47	afm_basic_model_1_multimer_v1_pred_50.pdb	B=A,C=C,D=B,E=D
48	afm_basic_model_1_multimer_v1_pred_51.pdb	B=A,C=C,D=B,E=D
49	afm_basic_model_1_multimer_v1_pred_52.pdb	B=A,C=C,D=B,E=D
50	afm_basic_model_1_multimer_v1_pred_53.pdb	B=A,C=C,D=B,E=D
51	afm_basic_model_1_multimer_v1_pred_54.pdb	B=A,C=C,D=B,E=D
52	afm_basic_model_1_multimer_v1_pred_55.pdb	B=A,C=C,D=B,E=D
53	afm_basic_model_1_multimer_v1_pred_56.pdb	B=A,C=C,D=B,E=D
54	afm_basic_model_1_multimer_v1_pred_57.pdb	B=A,C=C,D=B,E=D
55	afm_basic_model_1_multimer_v1_pred_58.pdb	B=A,C=C,D=B,E=D
56	afm_basic_model_1_multimer_v1_pred_59.pdb	B=A,C=C,D=B,E=D
57	afm_basic_model_1_multimer_v1_pred_6.pdb	B=A,C=C,D=B,E=D
58	afm_basic_model_1_multimer_v1_pred_60.pdb	B=A,C=C,D=B,E=D
59	afm_basic_model_1_multimer_v1_pred_61.pdb	B=A,C=C,D=B,E=D
60	afm_basic_model_1_multimer_v1_pred_62.pdb	B=A,C=C,D=B,E=D
61	afm_basic_model_1_multimer_v1_pred_63.pdb	B=A,C=C,D=B,E=D
62	afm_basic_model_1_multimer_v1_pred_64.pdb	B=A,C=C,D=B,E=D
63	afm_basic_model_1_multimer_v1_pred_65.pdb	B=A,C=C,D=B,E=D
64	afm_basic_model_1_multimer_v1_pred_66.pdb	B=A,C=C,D=B,E=D
65	afm_basic_model_1_multimer_v1_pred_7.pdb	B=A,C=C,D=B,E=D
66	afm_basic_model_1_multimer_v1_pred_8.pdb	B=A,C=C,D=B,E=D
67	afm_basic_model_1_multimer_v1_pred_9.pdb	B=A,C=C,D=B,E=D
68	afm_basic_model_1_multimer_v2_pred_0.pdb	B=A,C=C,D=B,E=D
69	afm_basic_model_1_multimer_v2_pred_1.pdb	B=A,C=C,D=B,E=D
70	afm_basic_model_1_multimer_v2_pred_10.pdb	B=A,C=C,D=B,E=D
71	afm_basic_model_1_multimer_v2_pred_11.pdb	B=A,C=C,D=B,E=D
72	afm_basic_model_1_multimer_v2_pred_12.pdb	B=A,C=C,D=B,E=D
73	afm_basic_model_1_multimer_v2_pred_13.pdb	B=A,C=C,D=B,E=D
74	afm_basic_model_1_multimer_v2_pred_14.pdb	B=A,C=C,D=B,E=D
75	afm_basic_model_1_multimer_v2_pred_15.pdb	B=A,C=C,D=B,E=D
76	afm_basic_model_1_multimer_v2_pred_16.pdb	B=A,C=C,D=B,E=D
77	afm_basic_model_1_multimer_v2_pred_17.pdb	B=A,C=C,D=B,E=D
78	afm_basic_model_1_multimer_v2_pred_18.pdb	B=A,C=C,D=B,E=D
79	afm_basic_model_1_multimer_v2_pred_19.pdb	B=A,C=C,D=B,E=D
80	afm_basic_model_1_multimer_v2_pred_2.pdb	B=A,C=C,D=B,E=D
81	afm_basic_model_1_multimer_v2_pred_20.pdb	B=A,C=C,D=B,E=D
82	afm_basic_model_1_multimer_v2_pred_21.pdb	B=A,C=C,D=B,E=D
83	afm_basic_model_1_multimer_v2_pred_22.pdb	B=A,C=C,D=B,E=D
84	afm_basic_model_1_multimer_v2_pred_23.pdb	B=A,C=C,D=B,E=D
85	afm_basic_model_1_multimer_v2_pred_24.pdb	B=A,C=C,D=B,E=D
86	afm_basic_model_1_multimer_v2_pred_25.pdb	B=A,C=C,D=B,E=D
87	afm_basic_model_1_multimer_v2_pred_26.pdb	B=A,C=C,D=B,E=D
88	afm_basic_model_1_multimer_v2_pred_27.pdb	B=A,C=C,D=B,E=D
89	afm_basic_model_1_multimer_v2_pred_28.pdb	B=A,C=C,D=B,E=D
90	afm_basic_model_1_multimer_v2_pred_29.pdb	B=A,C=C,D=B,E=D
91	afm_basic_model_1_multimer_v2_pred_3.pdb	B=A,C=C,D=B,E=D
92	afm_basic_model_1_multimer_v2_pred_30.pdb	B=A,C=C,D=B,E=D
93	afm_basic_model_1_multimer_v2_pred_31.pdb	B=A,C=C,D=B,E=D
94	afm_basic_model_1_multimer_v2_pred_32.pdb	B=A,C=C,D=B,E=D
95	afm_basic_model_1_multimer_v2_pred_33.pdb	B=A,C=C,D=B,E=D
96	afm_basic_model_1_multimer_v2_pred_34.pdb	B=A,C=C,D=B,E=D
97	afm_basic_model_1_multimer_v2_pred_35.pdb	B=A,C=C,D=B,E=D
98	afm_basic_model_1_multimer_v2_pred_36.pdb	B=A,C=C,D=B,E=D
99	afm_basic_model_1_multimer_v2_pred_37.pdb	B=A,C=C,D=B,E=D
100	afm_basic_model_1_multimer_v2_pred_38.pdb	B=A,C=C,D=B,E=D
101	afm_basic_model_1_multimer_v2_pred_39.pdb	B=A,C=C,D=B,E=D
102	afm_basic_model_1_multimer_v2_pred_4.pdb	B=A,C=C,D=B,E=D
103	afm_basic_model_1_multimer_v2_pred_40.pdb	B=A,C=C,D=B,E=D
104	afm_basic_model_1_multimer_v2_pred_41.pdb	B=A,C=C,D=B,E=D
105	afm_basic_model_1_multimer_v2_pred_42.pdb	B=A,C=C,D=B,E=D
106	afm_basic_model_1_multimer_v2_pred_43.pdb	B=A,C=C,D=B,E=D
107	afm_basic_model_1_multimer_v2_pred_44.pdb	B=A,C=C,D=B,E=D
108	afm_basic_model_1_multimer_v2_pred_45.pdb	B=A,C=C,D=B,E=D
109	afm_basic_model_1_multimer_v2_pred_46.pdb	B=A,C=C,D=B,E=D
110	afm_basic_model_1_multimer_v2_pred_47.pdb	B=A,C=C,D=B,E=D
111	afm_basic_model_1_multimer_v2_pred_48.pdb	B=A,C=C,D=B,E=D
112	afm_basic_model_1_multimer_v2_pred_49.pdb	B=A,C=C,D=B,E=D
113	afm_basic_model_1_multimer_v2_pred_5.pdb	B=A,C=C,D=B,E=D
114	afm_basic_model_1_multimer_v2_pred_50.pdb	B=A,C=C,D=B,E=D
115	afm_basic_model_1_multimer_v2_pred_51.pdb	B=A,C=C,D=B,E=D
116	afm_basic_model_1_multimer_v2_pred_52.pdb	B=A,C=C,D=B,E=D
117	afm_basic_model_1_multimer_v2_pred_53.pdb	B=A,C=C,D=B,E=D
118	afm_basic_model_1_multimer_v2_pred_54.pdb	B=A,C=C,D=B,E=D
119	afm_basic_model_1_multimer_v2_pred_55.pdb	B=A,C=C,D=B,E=D
120	afm_basic_model_1_multimer_v2_pred_56.pdb	B=A,C=C,D=B,E=D
121	afm_basic_model_1_multimer_v2_pred_57.pdb	B=A,C=C,D=B,E=D
122	afm_basic_model_1_multimer_v2_pred_58.pdb	B=A,C=C,D=B,E=D
123	afm_basic_model_1_multimer_v2_pred_59.pdb	B=A,C=C,D=B,E=D
124	afm_basic_model_1_multimer_v2_pred_6.pdb	B=A,C=C,D=B,E=D
125	afm_basic_model_1_multimer_v2_pred_60.pdb	B=A,C=C,D=B,E=D
126	afm_basic_model_1_multimer_v2_pred_61.pdb	B=A,C=C,D=B,E=D
127	afm_basic_model_1_multimer_v2_pred_62.pdb	B=A,C=C,D=B,E=D
128	afm_basic_model_1_multimer_v2_pred_63.pdb	B=A,C=C,D=B,E=D
129	afm_basic_model_1_multimer_v2_pred_64.pdb	B=A,C=C,D=B,E=D
130	afm_basic_model_1_multimer_v2_pred_65.pdb	B=A,C=C,D=B,E=D
131	afm_basic_model_1_multimer_v2_pred_66.pdb	B=A,C=C,D=B,E=D
132	afm_basic_model_1_multimer_v2_pred_7.pdb	B=A,C=C,D=B,E=D
133	afm_basic_model_1_multimer_v2_pred_8.pdb	B=A,C=C,D=B,E=D
134	afm_basic_model_1_multimer_v2_pred_9.pdb	B=A,C=C,D=B,E=D
135	afm_basic_model_1_multimer_v3_pred_0.pdb	B=A,C=C,D=B,E=D
136	afm_basic_model_1_multimer_v3_pred_1.pdb	B=A,C=C,D=B,E=D
137	afm_basic_model_1_multimer_v3_pred_10.pdb	B=A,C=C,D=B,E=D
138	afm_basic_model_1_multimer_v3_pred_11.pdb	B=A,C=C,D=B,E=D
139	afm_basic_model_1_multimer_v3_pred_12.pdb	B=A,C=C,D=B,E=D
140	afm_basic_model_1_multimer_v3_pred_13.pdb	B=A,C=C,D=B,E=D
141	afm_basic_model_1_multimer_v3_pred_14.pdb	B=A,C=C,D=B,E=D
142	afm_basic_model_1_multimer_v3_pred_15.pdb	B=A,C=C,D=B,E=D
143	afm_basic_model_1_multimer_v3_pred_16.pdb	B=A,C=C,D=B,E=D
144	afm_basic_model_1_multimer_v3_pred_17.pdb	B=A,C=C,D=B,E=D
145	afm_basic_model_1_multimer_v3_pred_18.pdb	B=A,C=C,D=B,E=D
146	afm_basic_model_1_multimer_v3_pred_19.pdb	B=A,C=C,D=B,E=D
147	afm_basic_model_1_multimer_v3_pred_2.pdb	B=A,C=C,D=B,E=D
148	afm_basic_model_1_multimer_v3_pred_20.pdb	B=A,C=C,D=B,E=D
149	afm_basic_model_1_multimer_v3_pred_21.pdb	B=A,C=C,D=B,E=D
150	afm_basic_model_1_multimer_v3_pred_22.pdb	B=A,C=C,D=B,E=D
151	afm_basic_model_1_multimer_v3_pred_23.pdb	B=A,C=C,D=B,E=D
152	afm_basic_model_1_multimer_v3_pred_24.pdb	B=A,C=C,D=B,E=D
153	afm_basic_model_1_multimer_v3_pred_25.pdb	B=A,C=C,D=B,E=D
154	afm_basic_model_1_multimer_v3_pred_26.pdb	B=A,C=C,D=B,E=D
155	afm_basic_model_1_multimer_v3_pred_27.pdb	B=A,C=C,D=B,E=D
156	afm_basic_model_1_multimer_v3_pred_28.pdb	B=A,C=C,D=B,E=D
157	afm_basic_model_1_multimer_v3_pred_29.pdb	B=A,C=C,D=B,E=D
158	afm_basic_model_1_multimer_v3_pred_3.pdb	B=A,C=C,D=B,E=D
159	afm_basic_model_1_multimer_v3_pred_30.pdb	B=A,C=C,D=B,E=D
160	afm_basic_model_1_multimer_v3_pred_31.pdb	B=A,C=C,D=B,E=D
161	afm_basic_model_1_multimer_v3_pred_32.pdb	B=A,C=C,D=B,E=D
162	afm_basic_model_1_multimer_v3_pred_33.pdb	B=A,C=C,D=B,E=D
163	afm_basic_model_1_multimer_v3_pred_34.pdb	B=A,C=C,D=B,E=D
164	afm_basic_model_1_multimer_v3_pred_35.pdb	B=A,C=C,D=B,E=D
165	afm_basic_model_1_multimer_v3_pred_36.pdb	B=A,C=C,D=B,E=D
166	afm_basic_model_1_multimer_v3_pred_37.pdb	B=A,C=C,D=B,E=D
167	afm_basic_model_1_multimer_v3_pred_38.pdb	B=A,C=C,D=B,E=D
168	afm_basic_model_1_multimer_v3_pred_39.pdb	B=A,C=C,D=B,E=D
169	afm_basic_model_1_multimer_v3_pred_4.pdb	B=A,C=C,D=B,E=D
170	afm_basic_model_1_multimer_v3_pred_40.pdb	B=A,C=C,D=B,E=D
171	afm_basic_model_1_multimer_v3_pred_41.pdb	B=A,C=C,D=B,E=D
172	afm_basic_model_1_multimer_v3_pred_42.pdb	B=A,C=C,D=B,E=D
173	afm_basic_model_1_multimer_v3_pred_43.pdb	B=A,C=C,D=B,E=D
174	afm_basic_model_1_multimer_v3_pred_44.pdb	B=A,C=C,D=B,E=D
175	afm_basic_model_1_multimer_v3_pred_45.pdb	B=A,C=C,D=B,E=D
176	afm_basic_model_1_multimer_v3_pred_46.pdb	B=A,C=C,D=B,E=D
177	afm_basic_model_1_multimer_v3_pred_47.pdb	B=A,C=C,D=B,E=D
178	afm_basic_model_1_multimer_v3_pred_48.pdb	B=A,C=C,D=B,E=D
179	afm_basic_model_1_multimer_v3_pred_49.pdb	B=A,C=C,D=B,E=D
180	afm_basic_model_1_multimer_v3_pred_5.pdb	B=A,C=C,D=B,E=D
181	afm_basic_model_1_multimer_v3_pred_50.pdb	B=A,C=C,D=B,E=D
182	afm_basic_model_1_multimer_v3_pred_51.pdb	B=A,C=C,D=B,E=D
183	afm_basic_model_1_multimer_v3_pred_52.pdb	B=A,C=C,D=B,E=D
184	afm_basic_model_1_multimer_v3_pred_53.pdb	B=A,C=C,D=B,E=D
185	afm_basic_model_1_multimer_v3_pred_54.pdb	B=A,C=C,D=B,E=D
186	afm_basic_model_1_multimer_v3_pred_55.pdb	B=A,C=C,D=B,E=D
187	afm_basic_model_1_multimer_v3_pred_56.pdb	B=A,C=C,D=B,E=D
188	afm_basic_model_1_multimer_v3_pred_57.pdb	B=A,C=C,D=B,E=D
189	afm_basic_model_1_multimer_v3_pred_58.pdb	B=A,C=C,D=B,E=D
190	afm_basic_model_1_multimer_v3_pred_59.pdb	B=A,C=C,D=B,E=D
191	afm_basic_model_1_multimer_v3_pred_6.pdb	B=A,C=C,D=B,E=D
192	afm_basic_model_1_multimer_v3_pred_60.pdb	B=A,C=C,D=B,E=D
193	afm_basic_model_1_multimer_v3_pred_61.pdb	B=A,C=C,D=B,E=D
194	afm_basic_model_1_multimer_v3_pred_62.pdb	B=A,C=C,D=B,E=D
195	afm_basic_model_1_multimer_v3_pred_63.pdb	B=A,C=C,D=B,E=D
196	afm_basic_model_1_multimer_v3_pred_64.pdb	B=A,C=C,D=B,E=D
197	afm_basic_model_1_multimer_v3_pred_65.pdb	B=A,C=C,D=B,E=D
198	afm_basic_model_1_multimer_v3_pred_66.pdb	B=A,C=C,D=B,E=D
199	afm_basic_model_1_multimer_v3_pred_7.pdb	B=A,C=C,D=B,E=D
200	afm_basic_model_1_multimer_v3_pred_8.pdb	B=A,C=C,D=B,E=D
201	afm_basic_model_1_multimer_v3_pred_9.pdb	B=A,C=C,D=B,E=D
202	afm_basic_model_2_multimer_v1_pred_0.pdb	B=A,C=C,D=B,E=D
203	afm_basic_model_2_multimer_v1_pred_1.pdb	B=A,C=C,D=B,E=D
204	afm_basic_model_2_multimer_v1_pred_10.pdb	B=A,C=C,D=B,E=D
205	afm_basic_model_2_multimer_v1_pred_11.pdb	B=A,C=C,D=B,E=D
206	afm_basic_model_2_multimer_v1_pred_12.pdb	B=A,C=C,D=B,E=D
207	afm_basic_model_2_multimer_v1_pred_13.pdb	B=A,C=C,D=B,E=D
208	afm_basic_model_2_multimer_v1_pred_14.pdb	B=A,C=C,D=B,E=D
209	afm_basic_model_2_multimer_v1_pred_15.pdb	B=A,C=C,D=B,E=D
210	afm_basic_model_2_multimer_v1_pred_16.pdb	B=A,C=C,D=B,E=D
211	afm_basic_model_2_multimer_v1_pred_17.pdb	B=A,C=C,D=B,E=D
212	afm_basic_model_2_multimer_v1_pred_18.pdb	B=A,C=C,D=B,E=D
213	afm_basic_model_2_multimer_v1_pred_19.pdb	B=A,C=C,D=B,E=D
214	afm_basic_model_2_multimer_v1_pred_2.pdb	B=A,C=C,D=B,E=D
215	afm_basic_model_2_multimer_v1_pred_20.pdb	B=A,C=C,D=B,E=D
216	afm_basic_model_2_multimer_v1_pred_21.pdb	B=A,C=C,D=B,E=D
217	afm_basic_model_2_multimer_v1_pred_22.pdb	B=A,C=C,D=B,E=D
218	afm_basic_model_2_multimer_v1_pred_23.pdb	B=A,C=C,D=B,E=D
219	afm_basic_model_2_multimer_v1_pred_24.pdb	B=A,C=C,D=B,E=D
220	afm_basic_model_2_multimer_v1_pred_25.pdb	B=A,C=C,D=B,E=D
221	afm_basic_model_2_multimer_v1_pred_26.pdb	B=A,C=C,D=B,E=D
222	afm_basic_model_2_multimer_v1_pred_27.pdb	B=A,C=C,D=B,E=D
223	afm_basic_model_2_multimer_v1_pred_28.pdb	B=A,C=C,D=B,E=D
224	afm_basic_model_2_multimer_v1_pred_29.pdb	B=A,C=C,D=B,E=D
225	afm_basic_model_2_multimer_v1_pred_3.pdb	B=A,C=C,D=B,E=D
226	afm_basic_model_2_multimer_v1_pred_30.pdb	B=A,C=C,D=B,E=D
227	afm_basic_model_2_multimer_v1_pred_31.pdb	B=A,C=C,D=B,E=D
228	afm_basic_model_2_multimer_v1_pred_32.pdb	B=A,C=C,D=B,E=D
229	afm_basic_model_2_multimer_v1_pred_33.pdb	B=A,C=C,D=B,E=D
230	afm_basic_model_2_multimer_v1_pred_34.pdb	B=A,C=C,D=B,E=D
231	afm_basic_model_2_multimer_v1_pred_35.pdb	B=A,C=C,D=B,E=D
232	afm_basic_model_2_multimer_v1_pred_36.pdb	B=A,C=C,D=B,E=D
233	afm_basic_model_2_multimer_v1_pred_37.pdb	B=A,C=C,D=B,E=D
234	afm_basic_model_2_multimer_v1_pred_38.pdb	B=A,C=C,D=B,E=D
235	afm_basic_model_2_multimer_v1_pred_39.pdb	B=A,C=C,D=B,E=D
236	afm_basic_model_2_multimer_v1_pred_4.pdb	B=A,C=C,D=B,E=D
237	afm_basic_model_2_multimer_v1_pred_40.pdb	B=A,C=C,D=B,E=D
238	afm_basic_model_2_multimer_v1_pred_41.pdb	B=A,C=C,D=B,E=D
239	afm_basic_model_2_multimer_v1_pred_42.pdb	B=A,C=C,D=B,E=D
240	afm_basic_model_2_multimer_v1_pred_43.pdb	B=A,C=C,D=B,E=D
241	afm_basic_model_2_multimer_v1_pred_44.pdb	B=A,C=C,D=B,E=D
242	afm_basic_model_2_multimer_v1_pred_45.pdb	B=A,C=C,D=B,E=D
243	afm_basic_model_2_multimer_v1_pred_46.pdb	B=A,C=C,D=B,E=D
244	afm_basic_model_2_multimer_v1_pred_47.pdb	B=A,C=C,D=B,E=D
245	afm_basic_model_2_multimer_v1_pred_48.pdb	B=A,C=C,D=B,E=D
246	afm_basic_model_2_multimer_v1_pred_49.pdb	B=A,C=C,D=B,E=D
247	afm_basic_model_2_multimer_v1_pred_5.pdb	B=A,C=C,D=B,E=D
248	afm_basic_model_2_multimer_v1_pred_50.pdb	B=A,C=C,D=B,E=D
249	afm_basic_model_2_multimer_v1_pred_51.pdb	B=A,C=C,D=B,E=D
250	afm_basic_model_2_multimer_v1_pred_52.pdb	B=A,C=C,D=B,E=D
251	afm_basic_model_2_multimer_v1_pred_53.pdb	B=A,C=C,D=B,E=D
252	afm_basic_model_2_multimer_v1_pred_54.pdb	B=A,C=C,D=B,E=D
253	afm_basic_model_2_multimer_v1_pred_55.pdb	B=A,C=C,D=B,E=D
254	afm_basic_model_2_multimer_v1_pred_56.pdb	B=A,C=C,D=B,E=D
255	afm_basic_model_2_multimer_v1_pred_57.pdb	B=A,C=C,D=B,E=D
256	afm_basic_model_2_multimer_v1_pred_58.pdb	B=A,C=C,D=B,E=D
257	afm_basic_model_2_multimer_v1_pred_59.pdb	B=A,C=C,D=B,E=D
258	afm_basic_model_2_multimer_v1_pred_6.pdb	B=A,C=C,D=B,E=D
259	afm_basic_model_2_multimer_v1_pred_60.pdb	B=A,C=C,D=B,E=D
260	afm_basic_model_2_multimer_v1_pred_61.pdb	B=A,C=C,D=B,E=D
261	afm_basic_model_2_multimer_v1_pred_62.pdb	B=A,C=C,D=B,E=D
262	afm_basic_model_2_multimer_v1_pred_63.pdb	B=A,C=C,D=B,E=D
263	afm_basic_model_2_multimer_v1_pred_64.pdb	B=A,C=C,D=B,E=D
264	afm_basic_model_2_multimer_v1_pred_65.pdb	B=A,C=C,D=B,E=D
265	afm_basic_model_2_multimer_v1_pred_66.pdb	B=A,C=C,D=B,E=D
266	afm_basic_model_2_multimer_v1_pred_7.pdb	B=A,C=C,D=B,E=D
267	afm_basic_model_2_multimer_v1_pred_8.pdb	B=A,C=C,D=B,E=D
268	afm_basic_model_2_multimer_v1_pred_9.pdb	B=A,C=C,D=B,E=D
269	afm_basic_model_2_multimer_v2_pred_0.pdb	B=A,C=C,D=B,E=D
270	afm_basic_model_2_multimer_v2_pred_1.pdb	B=A,C=C,D=B,E=D
271	afm_basic_model_2_multimer_v2_pred_10.pdb	B=A,C=C,D=B,E=D
272	afm_basic_model_2_multimer_v2_pred_11.pdb	B=A,C=C,D=B,E=D
273	afm_basic_model_2_multimer_v2_pred_12.pdb	B=A,C=C,D=B,E=D
274	afm_basic_model_2_multimer_v2_pred_13.pdb	B=A,C=C,D=B,E=D
275	afm_basic_model_2_multimer_v2_pred_14.pdb	B=A,C=C,D=B,E=D
276	afm_basic_model_2_multimer_v2_pred_15.pdb	B=A,C=C,D=B,E=D
277	afm_basic_model_2_multimer_v2_pred_16.pdb	B=A,C=C,D=B,E=D
278	afm_basic_model_2_multimer_v2_pred_17.pdb	B=A,C=C,D=B,E=D
279	afm_basic_model_2_multimer_v2_pred_18.pdb	B=A,C=C,D=B,E=D
280	afm_basic_model_2_multimer_v2_pred_19.pdb	B=A,C=C,D=B,E=D
281	afm_basic_model_2_multimer_v2_pred_2.pdb	B=A,C=C,D=B,E=D
282	afm_basic_model_2_multimer_v2_pred_20.pdb	B=A,C=C,D=B,E=D
283	afm_basic_model_2_multimer_v2_pred_21.pdb	B=A,C=C,D=B,E=D
284	afm_basic_model_2_multimer_v2_pred_22.pdb	B=A,C=C,D=B,E=D
285	afm_basic_model_2_multimer_v2_pred_23.pdb	B=A,C=C,D=B,E=D
286	afm_basic_model_2_multimer_v2_pred_24.pdb	B=A,C=C,D=B,E=D
287	afm_basic_model_2_multimer_v2_pred_25.pdb	B=A,C=C,D=B,E=D
288	afm_basic_model_2_multimer_v2_pred_26.pdb	B=A,C=C,D=B,E=D
289	afm_basic_model_2_multimer_v2_pred_27.pdb	B=A,C=C,D=B,E=D
290	afm_basic_model_2_multimer_v2_pred_28.pdb	B=A,C=C,D=B,E=D
291	afm_basic_model_2_multimer_v2_pred_29.pdb	B=A,C=C,D=B,E=D
292	afm_basic_model_2_multimer_v2_pred_3.pdb	B=A,C=C,D=B,E=D
293	afm_basic_model_2_multimer_v2_pred_30.pdb	B=A,C=C,D=B,E=D
294	afm_basic_model_2_multimer_v2_pred_31.pdb	B=A,C=C,D=B,E=D
295	afm_basic_model_2_multimer_v2_pred_32.pdb	B=A,C=C,D=B,E=D
296	afm_basic_model_2_multimer_v2_pred_33.pdb	B=A,C=C,D=B,E=D
297	afm_basic_model_2_multimer_v2_pred_34.pdb	B=A,C=C,D=B,E=D
298	afm_basic_model_2_multimer_v2_pred_35.pdb	B=A,C=C,D=B,E=D
299	afm_basic_model_2_multimer_v2_pred_36.pdb	B=A,C=C,D=B,E=D
300	afm_basic_model_2_multimer_v2_pred_37.pdb	B=A,C=C,D=B,E=D
301	afm_basic_model_2_multimer_v2_pred_38.pdb	B=A,C=C,D=B,E=D
302	afm_basic_model_2_multimer_v2_pred_39.pdb	B=A,C=C,D=B,E=D
303	afm_basic_model_2_multimer_v2_pred_4.pdb	B=A,C=C,D=B,E=D
304	afm_basic_model_2_multimer_v2_pred_40.pdb	B=A,C=C,D=B,E=D
305	afm_basic_model_2_multimer_v2_pred_41.pdb	B=A,C=C,D=B,E=D
306	afm_basic_model_2_multimer_v2_pred_42.pdb	B=A,C=C,D=B,E=D
307	afm_basic_model_2_multimer_v2_pred_43.pdb	B=A,C=C,D=B,E=D
308	afm_basic_model_2_multimer_v2_pred_44.pdb	B=A,C=C,D=B,E=D
309	afm_basic_model_2_multimer_v2_pred_45.pdb	B=A,C=C,D=B,E=D
310	afm_basic_model_2_multimer_v2_pred_46.pdb	B=A,C=C,D=B,E=D
311	afm_basic_model_2_multimer_v2_pred_47.pdb	B=A,C=C,D=B,E=D
312	afm_basic_model_2_multimer_v2_pred_48.pdb	B=A,C=C,D=B,E=D
313	afm_basic_model_2_multimer_v2_pred_49.pdb	B=A,C=C,D=B,E=D
314	afm_basic_model_2_multimer_v2_pred_5.pdb	B=A,C=C,D=B,E=D
315	afm_basic_model_2_multimer_v2_pred_50.pdb	B=A,C=C,D=B,E=D
316	afm_basic_model_2_multimer_v2_pred_51.pdb	B=A,C=C,D=B,E=D
